period start,symbol,price,change %,min,max,30d avg
2020-07-03T12:00:09+00:00,FIS,$59.27,-54.40%,$49.23,$148.23,$54.63
2020-07-03T12:00:09+00:00,FITB,$26.65,57.92%,$15.56,$47.49,$25.82
Could not fetch closing data
2020-07-03T12:00:09+00:00,FE,$38.77,9.69%,$23.83,$46.13,$38.45
2020-07-03T12:00:09+00:00,FISV,$125.20,10.84%,$112.19,$126.15,$0.00
2020-07-03T12:00:09+00:00,FLT,$253.49,-1.05%,$164.00,$293.44,$240.53
Could not fetch closing data
2020-07-03T12:00:09+00:00,FLS,$36.96,36.90%,$23.85,$41.87,$35.64
2020-07-03T12:00:09+00:00,FMC,$104.25,7.86%,$84.42,$136.06,$105.30
2020-07-03T12:00:09+00:00,F,$14.98,170.32%,$5.23,$22.66,$13.72
2020-07-03T12:00:09+00:00,FTNT,$74.68,167.29%,$22.07,$75.59,$71.08
2020-07-03T12:00:09+00:00,FTV,$72.35,26.59%,$53.33,$78.54,$69.84
Could not fetch closing data
2020-07-03T12:00:09+00:00,FOXA,$34.08,33.90%,$23.41,$43.12,$33.04
2020-07-03T12:00:09+00:00,FOX,$31.92,25.59%,$23.42,$40.26,$30.89
2020-07-03T12:00:09+00:00,BEN,$26.15,44.02%,$16.60,$34.87,$25.67
2020-07-03T12:00:09+00:00,FCX,$38.64,212.52%,$12.34,$50.85,$38.02
2020-07-03T12:00:09+00:00,GPS,$8.91,-20.15%,$7.30,$32.67,$8.74
2020-07-03T12:00:09+00:00,GRMN,$105.03,14.10%,$76.75,$169.18,$104.36
2020-07-03T12:00:09+00:00,IT,$347.74,183.80%,$117.45,$356.54,$345.06
2020-07-03T12:00:09+00:00,GD,$214.15,55.18%,$122.99,$251.36,$210.63
2020-07-03T12:00:09+00:00,GE,$108.27,150.39%,$36.75,$109.85,$105.38
2020-07-03T12:00:09+00:00,GIS,$75.17,33.46%,$50.48,$89.91,$80.48
2020-07-03T12:00:09+00:00,GM,$39.61,55.43%,$23.20,$65.11,$36.32
2020-07-03T12:00:09+00:00,GPC,$165.42,104.79%,$78.00,$185.05,$159.36
2020-07-03T12:00:09+00:00,GILD,$74.42,10.10%,$50.98,$87.06,$76.89
2020-07-03T12:00:09+00:00,GPN,$105.85,-36.82%,$92.67,$215.37,$100.00
2020-07-03T12:00:09+00:00,GL,$111.66,54.83%,$68.48,$122.86,$107.26
2020-07-03T12:00:09+00:00,GS,$315.17,62.95%,$174.65,$404.78,$325.50
2020-07-03T12:00:09+00:00,GWW,$776.18,151.16%,$296.17,$788.59,$722.65
2020-07-03T12:00:09+00:00,HRB,$31.41,147.20%,$11.60,$46.97,$31.55
2020-07-03T12:00:09+00:00,HAL,$35.58,183.31%,$10.80,$42.26,$31.84
2020-07-03T12:00:09+00:00,HBI,$4.28,-57.87%,$3.87,$20.58,$4.46
2020-07-03T12:00:09+00:00,HOG,$34.80,44.07%,$21.88,$51.27,$33.85
2020-07-03T12:00:09+00:00,HIG,$72.73,104.07%,$33.10,$77.98,$70.67
2020-07-03T12:00:09+00:00,HAS,$64.56,-4.26%,$46.59,$97.99,$61.58
2020-07-03T12:00:09+00:00,HCA,$291.49,201.44%,$91.95,$303.48,$282.46
2020-07-03T12:00:09+00:00,PEAK,$20.55,-15.55%,$19.27,$34.33,$20.30
2020-07-03T12:00:09+00:00,HSIC,$78.66,32.16%,$56.08,$91.96,$77.06
2020-07-03T12:00:09+00:00,HES,$134.41,183.38%,$34.82,$159.40,$133.11
2020-07-03T12:00:09+00:00,HPE,$16.87,94.84%,$7.65,$17.57,$16.05
2020-07-03T12:00:09+00:00,HLT,$148.32,95.61%,$73.11,$162.25,$141.58
Could not fetch closing data
2020-07-03T12:00:09+00:00,HOLX,$77.51,33.96%,$56.85,$87.67,$79.58
2020-07-03T12:00:09+00:00,HD,$302.81,30.22%,$230.49,$400.17,$299.71
2020-07-03T12:00:09+00:00,HON,$203.26,46.35%,$133.37,$225.63,$199.96
2020-07-03T12:00:09+00:00,HRL,$39.35,-12.49%,$37.69,$53.52,$40.16
2020-07-03T12:00:09+00:00,HST,$17.45,63.59%,$9.70,$20.24,$16.90
2020-07-03T12:00:09+00:00,HWM,$49.40,215.74%,$14.68,$49.56,$46.26
2020-07-03T12:00:09+00:00,HPQ,$31.13,95.63%,$14.96,$38.67,$30.18
2020-07-03T12:00:09+00:00,HUM,$430.14,10.69%,$359.40,$560.00,$475.29
2020-07-03T12:00:09+00:00,HBAN,$10.89,42.87%,$7.01,$16.38,$10.66
2020-07-03T12:00:09+00:00,HII,$224.25,38.92%,$129.27,$252.97,$215.22
2020-07-03T12:00:09+00:00,IEX,$209.98,35.65%,$151.81,$240.69,$206.88
2020-07-03T12:00:09+00:00,IDXX,$498.01,46.70%,$324.64,$705.76,$475.81
Could not fetch closing data
2020-07-03T12:00:09+00:00,ITW,$243.81,46.94%,$161.84,$250.90,$237.32
2020-07-03T12:00:09+00:00,ILMN,$183.32,-51.68%,$177.23,$524.84,$197.80
2020-07-03T12:00:09+00:00,INCY,$62.07,-42.42%,$60.95,$109.69,$62.14
2020-07-03T12:00:09+00:00,IR,$64.26,119.83%,$27.79,$65.36,$62.37
2020-07-03T12:00:09+00:00,INTC,$31.85,-41.19%,$24.31,$63.35,$32.34
2020-07-03T12:00:09+00:00,ICE,$112.29,26.20%,$88.20,$135.40,$109.55
2020-07-03T12:00:09+00:00,IBM,$132.08,33.64%,$88.85,$146.74,$132.80
2020-07-03T12:00:09+00:00,IP,$31.80,6.54%,$27.50,$56.09,$31.16
2020-07-03T12:00:09+00:00,IPG,$37.94,144.27%,$14.66,$40.59,$38.75
2020-07-03T12:00:09+00:00,IFF,$78.59,-33.25%,$75.28,$147.52,$78.04
2020-07-03T12:00:09+00:00,INTU,$448.19,47.75%,$280.04,$686.64,$440.91
2020-07-03T12:00:09+00:00,ISRG,$331.29,70.00%,$183.06,$365.42,$321.03
2020-07-03T12:00:09+00:00,IVZ,$16.92,75.86%,$8.74,$27.22,$16.04
2020-07-03T12:00:09+00:00,IPGP,$132.32,-19.73%,$83.02,$258.58,$123.42
2020-07-03T12:00:09+00:00,IQV,$216.81,50.94%,$141.28,$282.61,$210.70
2020-07-03T12:00:09+00:00,IRM,$57.95,159.55%,$22.00,$58.27,$55.36
2020-07-03T12:00:09+00:00,JBHT,$179.61,52.37%,$117.88,$215.57,$174.51
2020-07-03T12:00:09+00:00,JKHY,$163.01,-7.84%,$140.65,$208.58,$159.23
2020-07-03T12:00:09+00:00,J,$121.23,46.04%,$76.82,$146.69,$115.99
2020-07-03T12:00:09+00:00,SJM,$147.71,52.23%,$94.76,$160.44,$149.36
2020-07-03T12:00:09+00:00,JNJ,$159.25,20.54%,$127.53,$179.75,$160.58
2020-07-03T12:00:09+00:00,JCI,$66.90,105.62%,$31.27,$78.37,$64.24
2020-07-03T12:00:09+00:00,JPM,$144.34,65.77%,$83.66,$162.90,$139.77
2020-07-03T12:00:09+00:00,JNPR,$31.08,47.00%,$18.17,$36.39,$30.69
Could not fetch closing data
2020-07-03T12:00:09+00:00,K,$67.19,12.79%,$52.05,$74.86,$66.61
2020-07-03T12:00:09+00:00,KEY,$9.59,-8.48%,$8.75,$25.16,$9.88
2020-07-03T12:00:09+00:00,KEYS,$163.77,60.84%,$90.69,$207.93,$162.52
2020-07-03T12:00:09+00:00,KMB,$135.36,5.07%,$106.68,$145.10,$135.86
2020-07-03T12:00:09+00:00,KIM,$19.90,72.10%,$9.21,$24.98,$19.04
2020-07-03T12:00:09+00:00,KMI,$16.92,35.80%,$9.81,$18.92,$16.77
2020-07-03T12:00:09+00:00,KLAC,$455.83,132.85%,$166.04,$485.02,$463.33
2020-07-03T12:00:09+00:00,KSS,$24.21,30.13%,$16.32,$57.52,$21.84
2020-07-03T12:00:09+00:00,KHC,$35.46,25.83%,$25.63,$42.06,$36.67
2020-07-03T12:00:09+00:00,KR,$47.17,48.73%,$29.07,$60.08,$46.55
Could not fetch closing data
2020-07-03T12:00:09+00:00,LHX,$194.66,18.68%,$150.63,$262.47,$188.80
2020-07-03T12:00:09+00:00,LH,$208.28,42.92%,$145.73,$265.31,$195.87
2020-07-03T12:00:09+00:00,LRCX,$617.87,91.23%,$283.59,$714.99,$619.44
2020-07-03T12:00:09+00:00,LW,$112.62,82.91%,$49.22,$115.12,$113.22
2020-07-03T12:00:09+00:00,LVS,$55.72,18.38%,$30.14,$66.20,$57.52
2020-07-03T12:00:09+00:00,LEG,$28.88,-6.44%,$28.87,$52.20,$30.38
2020-07-03T12:00:09+00:00,LDOS,$88.04,4.04%,$76.20,$109.22,$83.86
2020-07-03T12:00:09+00:00,LEN,$120.21,102.80%,$59.27,$125.68,$116.78
2020-07-03T12:00:09+00:00,LLY,$452.08,183.19%,$125.40,$468.98,$448.12
2020-07-03T12:00:09+00:00,LNC,$26.08,-16.76%,$18.77,$69.89,$23.35
2020-07-03T12:00:09+00:00,LIN,$364.51,69.67%,$208.22,$381.08,$366.45
2020-07-03T12:00:09+00:00,LYV,$91.76,101.85%,$45.04,$126.04,$86.44
2020-07-03T12:00:09+00:00,LKQ,$57.19,128.15%,$24.59,$58.37,$54.97
2020-07-03T12:00:09+00:00,LMT,$458.71,37.29%,$300.44,$498.05,$455.88
2020-07-03T12:00:09+00:00,L,$60.45,77.59%,$32.36,$67.01,$58.48
2020-07-03T12:00:09+00:00,LOW,$221.94,71.87%,$128.43,$254.03,$214.13
2020-07-03T12:00:09+00:00,LYB,$90.50,60.68%,$51.27,$106.48,$89.57
2020-07-03T12:00:09+00:00,MTB,$128.56,38.76%,$82.71,$185.64,$123.47
2020-07-03T12:00:09+00:00,MRO,$23.52,317.93%,$3.70,$32.67,$23.00
2020-07-03T12:00:09+00:00,MPC,$118.02,261.48%,$25.07,$134.72,$112.11
2020-07-03T12:00:09+00:00,MKTX,$248.10,-51.28%,$217.46,$578.54,$268.98
2020-07-03T12:00:09+00:00,MAR,$185.66,109.09%,$82.56,$188.11,$176.95
2020-07-03T12:00:09+00:00,MMC,$183.99,78.19%,$99.30,$188.08,$179.67
2020-07-03T12:00:09+00:00,MLM,$440.17,107.93%,$199.06,$461.69,$428.28
2020-07-03T12:00:09+00:00,MAS,$55.21,15.48%,$42.18,$67.98,$54.18
2020-07-03T12:00:09+00:00,MA,$388.68,29.49%,$282.07,$394.16,$376.99
Could not fetch closing data
2020-07-03T12:00:09+00:00,MKC,$84.67,-1.99%,$69.93,$101.86,$89.20
2020-07-03T12:00:09+00:00,MCD,$292.10,65.80%,$172.28,$298.41,$289.67
2020-07-03T12:00:09+00:00,MCK,$414.80,180.18%,$137.67,$427.31,$403.14
2020-07-03T12:00:09+00:00,MDT,$85.89,-0.31%,$74.23,$127.55,$85.25
2020-07-03T12:00:09+00:00,MRK,$109.00,58.01%,$63.51,$117.59,$111.20
2020-07-03T12:00:09+00:00,MET,$57.61,72.06%,$31.95,$75.67,$54.10
2020-07-03T12:00:09+00:00,MTD,$1269.09,54.12%,$818.19,$1702.53,$1308.08
2020-07-03T12:00:09+00:00,MGM,$43.09,158.09%,$14.95,$50.35,$41.92
2020-07-03T12:00:09+00:00,MCHP,$86.62,67.85%,$46.93,$90.69,$82.33
2020-07-03T12:00:09+00:00,MU,$60.65,20.80%,$42.06,$96.24,$66.58
2020-07-03T12:00:09+00:00,MSFT,$337.22,64.49%,$195.45,$348.10,$333.83
2020-07-03T12:00:09+00:00,MAA,$153.17,44.09%,$101.09,$219.44,$150.99
2020-07-03T12:00:09+00:00,MHK,$103.18,-0.08%,$70.47,$229.74,$98.72
